"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.350703020686581,0.168245681332529,-2.0844696749953,0.0371174658432822,0.163034808641679
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107766417863,0.101059218008061,2.03947517584613,0.0414026263001334,0.176031664879167
"ENSG00000000457",322.664843927049,0.0245269479387468,0.145145067649239,0.168982303952755,0.865810560623554,0.961694238404381
"ENSG00000000460",87.682625164828,-0.14714204922212,0.257007253994673,-0.572520996723188,0.56696906525794,0.815848587637736
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281905807021,0.234311633845516,1.96013274402683,0.0499802769421284,0.200944465782512
"ENSG00000001036",2025.39179382894,-0.228243688351361,0.125005308318285,-1.82587196833445,0.0678695494953375,0.246790954887608
"ENSG00000001084",652.173308358757,-0.253030787429102,0.202576594239606,-1.24906230346542,0.211642286939172,0.495030491999037
"ENSG00000001167",411.684395281717,-0.53373339657376,0.228791461148915,-2.33283792101999,0.0196566535721821,0.105268747648762
"ENSG00000001460",201.336569053853,-0.123556348103777,0.161114727309944,-0.766884257986462,0.443150334000458,0.730583672002936
"ENSG00000001461",2918.77668675377,0.00210152395872589,0.28870434404301,0.00727915600193675,0.994192125099876,0.998014166808353
"ENSG00000001497",539.501702816792,-0.0573211492611315,0.109341581209846,-0.5242392567117,0.600112139778716,0.837621133648468
"ENSG00000001561",115.914401421895,0.286816638209836,0.715972980501578,0.40059701416233,0.688716844327049,0.887117297132839
"ENSG00000001617",604.297522477042,-0.192202806884422,0.198690550510319,-0.967347497859191,0.333370346699506,0.639074750802639
"ENSG00000001626",9.6724145714589,-0.286388065302528,0.586258600932595,-0.488501260104251,0.625194833386449,NA
"ENSG00000001629",1826.75812135437,-0.246091165637124,0.190393072929051,-1.29254264270859,0.196169288315456,0.474446482200189
"ENSG00000001630",979.608386428198,-0.179753249342179,0.121379855928637,-1.48091499999688,0.138629225359446,0.38640607306755
"ENSG00000001631",848.723819299268,-0.0712550209851314,0.153652803234144,-0.463740455659304,0.64283370875776,0.86210187896363
"ENSG00000002016",203.735815126675,-0.411582595769078,0.228455036442083,-1.80159125480003,0.0716097381879249,0.255785255862293
"ENSG00000002079",3.06484852801131,1.06112994552515,1.77213592723804,0.598785865810513,0.549315688867315,NA
"ENSG00000002330",688.667589034695,0.0103246419431311,0.0964225022817998,0.10707710024945,0.914727814058019,0.976989457490436
"ENSG00000002549",1229.98469317186,0.16430072872549,0.177395585311703,0.926182736942388,0.354351022345461,0.656729477666775
"ENSG00000002586",8367.26727634875,0.0792894308760618,0.131640081100157,0.60231982701177,0.546961265485198,0.801490814631214
"ENSG00000002587",1.95953335698007,0.399056442749026,1.15881067603973,0.344367247385754,0.730570117047998,NA
"ENSG00000002726",1.53531673945229,0.804939605370371,1.8033625142283,0.446354850463785,0.655340940970785,NA
"ENSG00000002745",7.28561888515924,-0.616755840397283,1.02005314561186,-0.604631085204227,0.545424147475143,NA
"ENSG00000002746",126.130005973738,0.193681254724149,0.308349478770702,0.628122529982211,0.529923674966579,0.788533509271845
"ENSG00000002822",351.152304336473,-0.0573898319667136,0.150034116411456,-0.382511880226807,0.702081718534866,0.893013427123577
"ENSG00000002834",8609.18275618938,0.416875055371324,0.108296983616797,3.8493690354887,0.000118422479332923,0.00183011066275216
"ENSG00000002919",251.500095596273,0.341973669874928,0.144338780689972,2.36924316694527,0.0178245300402545,0.0988113131257884
"ENSG00000002933",546.441449222622,0.404466498425362,1.40062631378887,0.288775453126558,0.772753217770892,0.92575674426337
"ENSG00000003056",1837.96769229328,-0.007701876876938,0.1003894337113,-0.0767199952445895,0.938846297516212,0.983555502335288
"ENSG00000003096",414.075308683702,-0.964578629321615,0.191741904271295,-5.03060941731776,4.88923265861855e-07,1.4928917059431e-05
"ENSG00000003137",106.506412172302,-1.03077632905586,0.583074413477823,-1.76782980907645,0.0770893599140957,0.267760568984027
"ENSG00000003147",9.33188603208963,0.254911504755497,0.570505284731506,0.446817078785633,0.655007138938191,NA
"ENSG00000003249",122.242063046478,-0.368497975015864,0.353315002467839,-1.04297290644885,0.296960841170331,0.600626063988132
"ENSG00000003393",860.859802380907,0.0548919352194712,0.166834695847636,0.329019901649247,0.742140645414135,0.912907738368833
"ENSG00000003400",95.3711570248671,-0.17839890837588,0.354603466800509,-0.503094089816788,0.614898121800284,0.845066429642949
"ENSG00000003402",3368.72335143759,1.16249955503505,0.126138593252637,9.21604978348484,3.08247089972569e-20,7.91254606378737e-18
"ENSG00000003436",5053.34063480256,-0.325443615737942,0.199411744750845,-1.63201829533445,0.102675632127147,0.322727153593647
"ENSG00000003509",302.835086615061,-0.100895148270192,0.125090107320686,-0.8065797562355,0.419908640720261,0.713270117060155
"ENSG00000003756",2957.87449781706,-0.183767842696337,0.0805067784641391,-2.28263813559742,0.0224516926503075,0.11514760758175
"ENSG00000003987",30.2673614014711,0.754687159849313,0.350816093212691,2.15123300911901,0.0314578128448336,0.146009370375423
"ENSG00000003989",39.5398447202775,0.586932349134439,0.730281578309876,0.80370690781055,0.421566263729415,0.714323233853434
"ENSG00000004059",1684.3217819095,0.379689771039632,0.114194253668285,3.3249463860289,0.00088435539312353,0.00941039458790477
"ENSG00000004139",312.643392000576,-0.0807770695340637,0.204992488865789,-0.394048923358111,0.693544919623818,0.889780575001761
"ENSG00000004142",1468.18173216884,0.152287930258554,0.127375714151313,1.1955805804366,0.231860273431019,0.523015168470775
"ENSG00000004399",3661.96471974267,-0.0519472643852774,0.217224517166168,-0.239140890093634,0.810996335736191,0.941262894070397
"ENSG00000004455",1236.90625297069,-0.0918567972106063,0.16457779099249,-0.558136044095997,0.576751489362165,0.821567090518246
"ENSG00000004468",5.59935950029571,0.2415812807513,0.814160769391886,0.296724295536546,0.76667700680622,NA
"ENSG00000004478",612.469678830193,-0.00303832191426496,0.166569999965182,-0.018240510985772,0.985446984911851,0.99535598841572
"ENSG00000004487",1255.80031118487,-0.334105525803991,0.0960383685463112,-3.47887548342598,0.000503522488043175,0.00602833840427975
"ENSG00000004534",1306.14906893784,-0.303531255147874,0.158959516857918,-1.909487781214,0.0561991964864507,0.217793457212717
"ENSG00000004660",79.865424377978,-0.645176178926617,0.378102799642384,-1.70635123447072,0.0879427042570549,0.291633951384519
"ENSG00000004700",1510.20849871797,0.409553280859452,0.119162326764517,3.43693591741282,0.000588334782701619,0.00677211546917458
"ENSG00000004766",495.212595858396,-0.114356684939026,0.129941106528756,-0.880065500394358,0.378823827182127,0.67780118933604
"ENSG00000004776",12520.3502740741,-0.154542224152926,0.245604661253981,-0.629231641467561,0.529197416702352,0.787974866398628
"ENSG00000004777",104.39554381318,-0.471433085352396,0.409422542902586,-1.1514585445398,0.249543640578697,0.544511128676524
"ENSG00000004779",366.340319770589,0.109903471791757,0.13652980833992,0.804977851562855,0.4208324609444,0.713813439525113
"ENSG00000004799",935.559303330853,2.55967531416087,0.911031411160663,2.80964551035602,0.00495960938100028,0.0378786102245332
"ENSG00000004809",1.40994350389939,0.0528321817693284,1.54297791913354,0.0342404004063755,0.972685450550119,NA
"ENSG00000004838",16.3434516100777,-0.923936691699484,0.411508242281192,-2.24524467985781,0.024752429244205,0.123402931986141
"ENSG00000004846",22.073292550198,-1.58995194445532,0.64941153114935,-2.44829644715636,0.0143533506432429,0.0843950499172603
"ENSG00000004848",0.13880171053401,0.894699722854172,3.5338115409304,0.253182636507722,0.800127083554548,NA
"ENSG00000004864",152.306716934468,0.0559735174612708,0.274609505270296,0.203829497475611,0.838486741058441,0.953154821986797
"ENSG00000004866",523.884326788918,-0.61408161905533,0.212089244658632,-2.89539255063936,0.00378684648095167,0.0307827451458156
"ENSG00000004897",1680.01793286077,-0.161864823437843,0.100728098672608,-1.60694806683431,0.108065760929578,0.333625081483172
"ENSG00000004939",8.67357060287904,-0.609551433429279,0.567082211229239,-1.07489076779182,0.282423635833478,NA
"ENSG00000004948",0,NA,NA,NA,NA,NA
